2024 Top 50 Prospects: Position Players (mlb.com) - Pitcherlist.com Data,,,,,,,,,,,,,,Rank (Rk) ,Player Name,Age,PROJ - Hitting WAR,PROJ - wOBA,PROJ - wRC+,PROJ - Runs per PA/AB  (based on data on right),"League Avg wOBA = .320, wOBA scale = 1.25 (Fangraphs)",Avg PA in MLB - 550 (full season),,,,Data for Top 50 Hitting Prospects from mlb.com,,,,,,,,,,,,,,,,,,,,,,,Calculating MLE for Top 50 Hitting Prospects based on their Current MiLB Stats (Info from Dan Szymborski),,,,,,,,,,,,,,,,,,PF for Each Top 50 Prospect,,,,,,
Rank (Rk) ,Player Name,Team,Age,Draft Pos,Position Played,MLB - WAR,Spd (out of 80) - Minors,BB% - Minors,K% - Minors,ISO - minors,OPS+ - minors,,,1,Dylan Crews,22,0.71,0.455,111,0.12,"OBP scale for wOBA = 0.69, SLG scale for wOBA = 0.72",,,,,Rank,Player Name,Age,Level,PA,AB,R,Outs,H,2B,3B,HR,TB,BB,SO,SB,CS,AVG,OBP,SLG,OPS,League OPS (FanGraph) = 0.735,,Rank,Player Name,Age,PF,ABs,R,H,2B,3B,HR,BB,SO,AVG,OBP,SLG,OPS,standard 18% reduction in ability when moving from AAA/Minors to the MLB,,Arizona Diamondbacks,0.87,,,,,
1,Dylan Crews,Nationals,22,OF,Position Player,0.6,60,8.1,20.3,0.171,103,,,2,Walker Jenkins,19,1.64,0.542,118,0.17,,,,,,1,Dylan Crews,22,ALL (3),581,516,72,383,133,26,7,16,221,76,47,118,37,0.258,0.329,0.428,0.757,,,1,Dylan Crews,22,0.99,491,58,108,21,5,13,62,49,0.220,0.282,0.362,0.644,m = 0.82 as a general factor for the move from Minors to Majors:,,Atlanta Braves,0.93,,,,,
2,Walker Jenkins,Twins,19,OF,Position Player,0,55,15.2,12.8,0.157,113,,,3,Roman Anthony,20,1.56,0.515,116,0.18,,,,,,2,Walker Jenkins,19,ALL (4),368,305,51,219,86,22,4,6,134,58,56,47,17,0.282,0.394,0.439,0.833,,,2,Walker Jenkins,19,1.22,305,51,86,22,3,6,58,72,0.282,0.331,0.436,0.767,M = sqrt of m = 0.905,,Baltimore Orioles,0.97,,,,,
3,Roman Anthony,Red Sox,20,OF,Position Player,0,50,14.6,23.5,0.207,122,,,4,Carson Williams,21,1.50,0.513,115,0.18,,,,,,3,Roman Anthony,20,ALL (2),540,454,93,322,132,32,4,18,226,65,79,127,21,0.291,0.396,0.498,0.894,,,3,Roman Anthony,20,1.03,433,79,111,27,3,15,55,85,0.257,0.290,0.438,0.728,,,Boston Red Sox,1.03,,,,,
4,Carson Williams,Rays,21,SS,Position Player,0,55,11.5,28.5,0.212,112,,,6,Max Clark,20,0.77,0.440,110,0.14,,,,,,4,Carson Williams,21,AA,505,433,83,322,111,20,6,20,203,69,58,144,33,0.256,0.352,0.469,0.821,,,4,Carson Williams,21,1.1,422,75,100,18,5,18,62,67,0.237,0.294,0.430,0.724,,,Chicago Cubs,1.01,,,,,
6,Max Clark,Tigers,20,OF,Position Player,0,70,12.4,19.2,0.143,108,,,7,Marcelo Mayer,22,1.58,0.523,116,0.18,,,,,,6,Max Clark,20,ALL (2),490,420,75,303,117,21,6,9,177,75,61,94,29,0.279,0.372,0.421,0.793,,,6,Max Clark,20,0.92,391,57,88,16,4,7,57,59,0.226,0.286,0.338,0.624,,,Chicago White Sox,1.17,,,,,
7,Marcelo Mayer,Red Sox,22,SS,Position Player,0,40,9,19.7,0.173,116,,,8,Coby Mayo,23,1.37,0.534,117,0.15,,,,,,7,Marcelo Mayer,22,AA,335,300,60,208,92,28,0,8,144,38,30,66,13,0.307,0.37,0.48,0.85,,,7,Marcelo Mayer,22,1.03,286,51,78,24,0,7,32,32,0.272,0.313,0.426,0.739,,,Cincinnati Reds,0.93,,,,,
8,Coby Mayo,Orioles,23,3B,Position Player,-0.7,40,10.2,27.4,0.268,122,,,9,Jordan Lawler,22,0.91,0.492,114,0.12,,,,,,8,Coby Mayo,23,ALL (3),452,399,69,290,109,26,3,25,216,73,46,124,4,0.273,0.354,0.541,0.895,,,8,Coby Mayo,23,0.97,377,55,87,21,2,20,58,47,0.230,0.301,0.454,0.755,,,Cleveland Guardians,0.95,,,,,
9,Jordan Lawler,Diamondbacks,22,SS,Position Player,-0.2,70,13.5,22.1,0.165,122,,,10,Kristian Cambell,22,2.29,0.587,121,0.19,,,,,,9,Jordan Lawlar,22,ALL (3),104,85,13,58,27,6,1,2,41,20,14,23,6,0.318,0.417,0.482,0.899,,,9,Jordan Lawlar,22,0.87,77,9,19,4,1,1,14,13,0.249,0.321,0.376,0.697,,,Colorado Rockies,1.15,,,,,
10,Kristian Cambell,Red Sox,22,2B,Position Player,0,60,14.3,19.9,0.228,136,,,11,Charlie Condon,21,0.07,0.348,102,0.06,,,,,,10,Kristian Campbell,22,ALL (3),517,430,94,288,142,32,3,20,240,77,74,103,24,0.33,0.439,0.558,0.997,,,10,Kristian Campbell,22,1.03,408,79,120,27,2,17,65,80,0.294,0.334,0.495,0.830,,,Detroit Tigers,0.92,,,,,91.67
11,Charlie Condon,Rockies,21,OF,Position Player,0,40,3.7,31.2,0.090,70,,,12,Travis Bazzana,22,0.52,0.393,106,0.16,,,,,,11,Charlie Condon,21,A+,109,100,6,82,18,4,1,1,27,11,4,34,4,0.18,0.248,0.27,0.518,,,11,Charlie Condon,21,1.15,99,6,17,4,1,1,10,5,0.171,0.240,0.254,0.494,,,Houston Astros,1.00,,,,,100.00
12,Travis Bazzana,Guardians,22,2B,Position Player,0,60,13.9,25.4,0.158,104,,,13,Samuel Basallo,20,0.79,0.470,112,0.12,,,,,,12,Travis Bazzana,22,A+,122,101,20,77,24,7,0,3,40,12,17,31,5,0.238,0.369,0.396,0.765,,,12,Travis Bazzana,22,0.95,96,16,19,5,0,2,9,17,0.195,0.230,0.326,0.555,,,Kansas City Royals,1.10,,,,,109.67
13,Samuel Basallo,Orioles,20,C,Position Player,0,40,8.6,21.1,0.171,107,,,14,Jasson Dominguez,21,1.12,0.485,113,0.15,,,,,,13,Samuel Basallo,20,ALL (2),532,479,68,346,133,25,0,19,215,65,46,112,10,0.278,0.341,0.449,0.79,,,13,Samuel Basallo,20,0.97,452,54,106,20,0,15,52,47,0.234,0.286,0.379,0.665,,,Los Angeles Angels,1.00,,,,,100.00
14,Jasson Dominguez,Yankees,21,OF,Position Player,0.2,55,10.4,21.8,0.177,113,,,17,Jac Caglianone,21,0.60,0.451,111,0.10,,,,,,14,Jasson Dominguez,21,ALL (4),317,282,51,201,81,9,1,13,131,39,33,69,21,0.287,0.363,0.465,0.828,,,14,Jasson Dominguez,21,0.98,266,41,65,7,1,10,31,34,0.245,0.291,0.395,0.686,,,Los Angeles Dodgers,1.00,,,,,100.00
17,Jac Caglianone,Royals,21,1B,Position Player,0,40,5.6,20.6,0.147,94,,,18,JJ Wetherholt,22,0.85,0.455,111,0.14,,,,,,17,Jac Caglianone,21,A+,126,116,13,88,28,9,1,2,45,14,7,26,2,0.241,0.302,0.388,0.69,,,17,Jac Caglianone,21,1.1,113,12,25,8,1,2,13,8,0.223,0.283,0.356,0.639,,,Miami Marlins,0.93,,,,,92.67
18,JJ Wetherholt,Cardinals ,22,3B,Position Player,0,60,12.7,11.9,0.105,110,,,19,Ethan Salas,18,0.10,0.349,102,0.08,,,,,,18,JJ Wetherholt,22,A,126,105,18,74,31,5,0,2,42,20,16,15,2,0.295,0.405,0.4,0.805,,,18,JJ Wetherholt,22,0.96,98,14,24,4,0,2,16,16,0.248,0.308,0.336,0.644,,,Milwaukee Brewers,0.99,,,,,99.00
19,Ethan Salas,Padres,18,C,Position Player,0,45,10,20.9,0.104,81,,,22,Matt Shaw,23,1.28,0.510,115,0.15,,,,,,19,Ethan Salas,18,A+,469,412,38,327,85,27,2,4,128,53,47,98,10,0.206,0.288,0.311,0.599,,,19,Ethan Salas,18,1,397,31,70,22,1,3,43,49,0.176,0.231,0.263,0.495,,,Minnesota Twins,1.22,,,,,121.67
22,Matt Shaw,Cubs,23,2B,Position Player,0,55,11.9,18.2,0.203,118,,,23,Sebastion Walcott,18,0.76,0.463,111,0.12,,,,,,22,Matt Shaw,23,ALL (2),523,443,78,317,126,19,4,21,216,71,62,95,31,0.284,0.379,0.488,0.867,,,22,Matt Shaw,23,1.01,421,65,104,16,3,17,59,66,0.248,0.299,0.422,0.721,,,New York Mets,1.06,,,,,105.67
23,Sebastion Walcott,Rangers,18,DH,Position Player,0,55,10.3,25.6,0.186,108,,,24,Jacob Wilson,22,2.23,0.613,123,0.17,,,,,,23,Sebastian Walcott,18,ALL (2),515,456,64,335,121,34,9,11,206,56,53,132,27,0.265,0.344,0.452,0.796,,,23,Sebastian Walcott,18,1,434,52,99,28,6,9,46,56,0.229,0.271,0.384,0.655,,,New York Yankees,0.98,,,,,97.67
24,Jacob Wilson,A's,22,SS,Position Player,,50,6.7,7.6,0.183,134,,,25,Kyle Teel,22,1.36,0.490,114,0.18,,,,,,24,Jacob Wilson,22,ALL (4),329,300,59,187,113,30,2,7,168,42,22,25,2,0.377,0.424,0.56,0.984,,,24,Jacob Wilson,22,1,280,48,93,25,1,6,34,23,0.331,0.377,0.491,0.868,,,Oakland Athletics,1.00,,,,,100.00
25,Kyle Teel,Red Sox,22,C,Position Player,0,45,13.5,23,0.145,111,,,26,Aidan Miller,20,0.83,0.457,111,0.14,,,,,,25,Kyle Teel,22,ALL (2),505,427,88,304,123,23,0,13,185,78,68,116,12,0.288,0.386,0.433,0.819,,,25,Kyle Teel,22,1.03,408,74,104,19,0,11,66,74,0.255,0.310,0.383,0.693,,,Philadelphia Phillies,0.98,,,,,97.67
26,Aidan Miller,Phillies,20,SS,Position Player,0,50,12.1,21.6,0.185,110,,,27,Colt Emerson,19,0.71,0.412,107,0.18,,,,,,26,Aidan Miller,20,ALL (3),462,395,64,292,103,28,6,11,176,60,56,100,23,0.261,0.366,0.446,0.812,,,26,Aidan Miller,20,0.98,375,51,83,23,4,9,48,58,0.221,0.273,0.374,0.646,,,Pittsburgh Pirates,0.95,,,,,95.33
27,Colt Emerson,Mariners,19,SS,Position Player,0,50,14.9,17.3,0.113,105,,,28,Leodalis De Vries,18,0.93,0.437,109,0.18,,,,,,27,Colt Emerson,19,ALL (3),336,274,56,202,72,17,1,4,103,37,50,58,15,0.263,0.393,0.376,0.769,,,27,Colt Emerson,19,1,261,46,59,14,1,3,30,53,0.226,0.260,0.323,0.583,,,San Diego Padres,1.00,,,,,100.00
28,Leodalis De Vries,Padres,18,SS,Position Player,0,60,13.9,23.3,0.204,109,,,29,Emmanuel Rodriguez,21,3.72,0.602,123,0.30,,,,,,28,Leodalis De Vries,18,A,360,299,63,228,71,22,3,11,132,38,50,84,13,0.237,0.361,0.441,0.802,,,28,Leodalis De Vries,18,1,286,52,58,18,2,9,31,53,0.203,0.242,0.376,0.617,,,San Francisco Giants,1.00,,,,,100.00
29,Emmanuel Rodriguez,Twins,21,OF,Position Player,0,55,24.4,29.7,0.287,140,,,31,Kevin Mcgonigle,20,0.94,0.466,112,0.15,,,,,,29,Emmanuel Rodriguez,21,ALL (4),209,157,47,113,44,14,2,9,89,27,51,62,9,0.28,0.459,0.567,1.026,,,29,Emmanuel Rodriguez,21,1.22,157,47,44,14,2,9,27,65,0.280,0.285,0.563,0.848,,,Seattle Mariners,1.00,,,,,100.00
31,Kevin Mcgonigle,Tigers,20,SS,Position Player,0,50,14,8.5,0.143,116,,,34,Owen Caissie,22,0.98,0.495,114,0.13,,,,,,31,Kevin McGonigle,20,ALL (2),328,272,49,188,84,16,4,5,123,44,46,28,22,0.309,0.401,0.452,0.853,,,31,Kevin McGonigle,20,0.92,251,37,63,12,3,4,33,44,0.252,0.294,0.366,0.659,,,St. Louis Cardinals,0.96,,,,,95.67
34,Owen Caissie,Cubs,22,OF,Position Player,0,40,12.9,28.4,0.195,115,,,35,Bryce Eldridge,20,1.46,0.545,118,0.15,,,,,,34,Owen Caissie,22,AAA,549,472,69,341,131,29,3,19,223,75,71,156,11,0.278,0.375,0.472,0.847,,,34,Owen Caissie,22,1.01,449,57,108,24,2,16,62,75,0.241,0.291,0.409,0.700,,,Tampa Bay Rays,1.10,,,,,109.67
35,Bryce Eldridge,Giants,20,OF,Position Player,0,40,11.4,25.4,0.224,121,,,36,Xavier Isaac,21,1.58,0.539,117,0.16,,,,,,35,Bryce Eldridge,20,ALL (4),519,446,76,316,130,27,2,23,230,92,59,132,6,0.291,0.374,0.516,0.89,,,35,Bryce Eldridge,20,1,423,62,107,22,1,19,75,62,0.252,0.325,0.445,0.770,,,Texas Rangers,1.00,,,,,100.00
36,Xavier Isaac,Rays,21,1B,Position Player,0,40,13.3,33.3,0.215,116,,,37,Colson Montgomery,22,0.70,0.441,110,0.13,,,,,,36,Xavier Isaac,21,ALL (2),435,367,65,270,97,21,2,18,176,78,58,145,15,0.264,0.37,0.48,0.85,,,36,Xavier Isaac,21,1.1,357,59,87,19,2,16,70,67,0.245,0.319,0.443,0.762,,,Toronto Blue Jays,0.93,,,,,93.33
